,0
0,0.47479207131294693
1,0.493916001962141
2,0.509055784275771
3,0.5074844107371651
4,0.4731712872024919
5,0.4776090611990988
6,0.4933865749463071
7,0.49326390587454844
8,0.5000038971877089
9,0.5213160631925953
10,0.4337251068246741
11,0.4013733930252941
12,0.4751890541451669
13,0.4267107702361974
14,0.47975154133983067
15,0.5694718868959647
16,0.5229234364954938
17,0.46069409722348537
18,0.45912929770211985
19,0.5026416748076649
20,0.5076028715374251
21,0.4696566293347876
22,0.4876393430217335
23,0.48452773283499323
24,0.492338945639617
25,0.5023198034272383
26,0.5023793597731944
27,0.4852630098579908
28,0.45006407184061725
29,0.480079681356502
30,0.4809369616881824
31,0.4649282063688221
32,0.4346028662249582
33,0.47935099200500303
34,0.4593469974458384
35,0.5205093372628115
36,0.4701590740904147
37,0.4211133546301081
38,0.4307945345118354
39,0.4795122394269421
40,0.4800299683272296
41,0.49916376176988886
42,0.4615749190654741
43,0.4715563612095845
44,0.482686167823097
45,0.46355165574430857
46,0.473343602468046
47,0.492290866575422
48,0.48693909079772535
49,0.46478244482649844
50,0.45376326806063944
51,0.4697730707906509
52,0.46438158349978875
53,0.4758698183222447
54,0.4351327301100274
55,0.47994636864856105
56,0.43234840380433137
57,0.49654076351157184
58,0.48291517932507827
59,0.4577435231777982
60,0.4714995736461173
61,0.4982566968500684
62,0.4783038586680463
63,0.4804625400307979
64,0.5010118137186333
65,0.49046864621895864
66,0.44072145773141597
67,0.4336090038777042
68,0.4705981602929811
69,0.45741861207215545
70,0.4780103439938731
71,0.5217737447959045
72,0.5064264280114894
73,0.47439351967103327
74,0.47886071020386123
75,0.4747065885296338
76,0.511594582511691
77,0.496082024907286
78,0.524885792311543
79,0.4836089425391491
80,0.4672528036697653
81,0.4656516805455549
82,0.5026513950548724
83,0.5102879768774871
84,0.4050272601064719
85,0.45755145867249525
86,0.4231606432588806
87,0.4373565052216971
88,0.4601476491855846
89,0.454970136950753
90,0.46109533436361494
91,0.4786434800883654
92,0.46878933980395765
93,0.47833237510395504
94,0.45991209825592205
95,0.4694315336141917
96,0.48379099948966525
97,0.4815191003542695
98,0.4989767908344532
99,0.49477651911067194
100,0.48875012653011274
101,0.4827200506849263
102,0.46297612627428564
103,0.3836486513494705
104,0.43331577681784283
105,0.4690262028534493
106,0.5064797897540826
107,0.4893693708428071
108,0.45633865473763513
109,0.45464921669023284
110,0.49367549429454427
111,0.48392037036505314
112,0.4765774518301683
113,0.4911194115522539
114,0.48827139849192125
115,0.46396051017530754
116,0.44719421401887127
117,0.4466771503124563
118,0.44849405098653117
119,0.46736678162934037
120,0.4769155129246418
121,0.45949256699037183
122,0.47306734874311673
123,0.44786997633284376
124,0.6160059104129362
125,0.6328565160788104
126,0.3638346424308422
127,0.5195282681805041
128,0.4702905407917705
129,0.492344578400754
130,0.48107345691618975
131,0.486744961889763
132,0.49871644494488027
133,0.47413445897117085
134,0.4475682737784003
135,0.4488282739076319
136,0.4339713823150579
137,0.5342905616818779
138,0.4639214118017539
139,0.46616453245091927
140,0.46816897147012304
141,0.49950200250112053
142,0.48462736948361995
143,0.4358218757323393
144,0.46849801595060525
145,0.504842625542494
146,0.4973043074668994
147,0.48262938752990264
148,0.4900567205223959
149,0.4824301590233849
150,0.46803419638048577
151,0.45264160873661874
152,0.44401330791551313
153,0.46927145067034476
154,0.46611160698687015
155,0.4955302679927718
156,0.5268786175137181
157,0.5534577051777317
158,0.5085691791621751
159,0.4691567454417803
160,0.4165158448217788
161,0.42269580278529123
162,0.4750599492923204
163,0.49219165114676905
164,0.47039280012222134
165,0.4347534869876856
166,0.43834925437920635
167,0.4557095940736884
168,0.4385764395044322
169,0.4200804492864062
170,0.44721951942201393
171,0.4512949884657566
172,0.4362845070943535
173,0.41713005433837697
174,0.4344220037380194
175,0.4567738672777266
176,0.4640667538372218
177,0.43116769364456486
178,0.4915033781467684
179,0.49256141726075303
180,0.48870192089258424
181,0.4637261875996783
182,0.47241714695167186
183,0.49431348770427247
184,0.48609402505430294
185,0.48897578839296374
186,0.423624203606832
187,0.43642063878569826
188,0.43960500657214013
189,0.4590667671388202
190,0.49107176204105474
191,0.47216654771485134
192,0.44746271625275974
193,0.4595345530955495
194,0.4627270702354028
195,0.4696151125878809
196,0.4831918310717878
197,0.4713858920646037
198,0.4986254138280567
199,0.4725382816324862
200,0.5170489541130082
201,0.4554235386953562
202,0.45906764447818277
203,0.4393148814871408
204,0.44474297849536937
205,0.4413287139197171
206,0.4559680127180733
207,0.44626771192881437
208,0.4575610473160921
209,0.4851421111536663
210,0.48582391701982053
211,0.4995801220484776
212,0.577794296336672
213,0.43959397405189166
214,0.535181745502833
215,0.4878872765515751
216,0.4758385747670599
217,0.47705260175741454
218,0.4567582855686472
219,0.4666850562546065
220,0.48654938319191826
221,0.494791530905304
222,0.48759028445641167
223,0.5194954030297029
224,0.4705596671927205
225,0.458974672892393
226,0.4233291543644719
227,0.5133915163459057
228,0.46911694267361614
229,0.48813745609810755
230,0.47813889298634804
231,0.49113140524194165
232,0.4912691628647789
