Name,Team,date,R1,R2,R3,R
강백호,KT,06월 24일,1,0,1,2
강백호,KT,06월 27일,0,1,2,0
강백호,KT,06월 29일,1,2,0,1
강백호,KT,06월 30일,2,0,1,0
강백호,KT,07월 04일,0,1,0,1
강백호,KT,07월 05일,1,0,1,0
강백호,KT,07월 06일,0,1,0,0
강백호,KT,07월 07일,1,0,0,3
강백호,KT,07월 08일,0,0,3,1
강백호,KT,07월 10일,0,3,1,1
강백호,KT,07월 11일,3,1,1,0
강백호,KT,07월 12일,1,1,0,2
강승호,LG,03월 30일,0,1,0,0
강승호,LG,04월 06일,1,0,0,1
강승호,LG,04월 14일,0,0,1,0
강승호,LG,04월 15일,0,1,0,0
강승호,LG,04월 18일,1,0,0,0
강승호,LG,04월 20일,0,0,0,1
강승호,LG,04월 21일,0,0,1,0
강승호,LG,04월 22일,0,1,0,0
강승호,LG,04월 24일,1,0,0,0
강승호,LG,04월 26일,0,0,0,0
강승호,LG,04월 27일,0,0,0,0
강승호,LG,04월 29일,0,0,0,0
강진성,NC,04월 14일,0,0,0,0
강진성,NC,04월 15일,0,0,0,0
강진성,NC,06월 01일,0,0,0,0
강진성,NC,06월 02일,0,0,0,0
강진성,NC,06월 26일,0,0,0,0
강진성,NC,06월 27일,0,0,0,0
강한울,삼성,03월 31일,0,0,1,0
강한울,삼성,04월 01일,0,1,0,0
강한울,삼성,04월 05일,1,0,0,1
강한울,삼성,04월 07일,0,0,1,0
강한울,삼성,04월 08일,0,1,0,2
강한울,삼성,04월 11일,1,0,2,0
강한울,삼성,04월 13일,0,2,0,0
강한울,삼성,04월 14일,2,0,0,0
강한울,삼성,04월 15일,0,0,0,1
강한울,삼성,04월 17일,0,0,1,2
강한울,삼성,04월 18일,0,1,2,0
강한울,삼성,04월 21일,1,2,0,0
강한울,삼성,04월 28일,2,0,0,0
강한울,삼성,04월 29일,0,0,0,1
강한울,삼성,05월 04일,0,0,1,1
강한울,삼성,05월 08일,0,1,1,0
강한울,삼성,05월 10일,1,1,0,0
강한울,삼성,05월 11일,1,0,0,0
강한울,삼성,05월 13일,0,0,0,1
강한울,삼성,05월 18일,0,0,1,1
강한울,삼성,05월 19일,0,1,1,0
강한울,삼성,05월 20일,1,1,0,0
강한울,삼성,05월 22일,1,0,0,2
강한울,삼성,05월 23일,0,0,2,0
강한울,삼성,05월 27일,0,2,0,0
강한울,삼성,06월 01일,2,0,0,0
강한울,삼성,06월 06일,0,0,0,0
강한울,삼성,06월 07일,0,0,0,0
강한울,삼성,06월 08일,0,0,0,0
강한울,삼성,06월 12일,0,0,0,0
강한울,삼성,06월 28일,0,0,0,0
고종욱,넥센,03월 30일,2,0,0,0
고종욱,넥센,04월 01일,0,0,0,1
고종욱,넥센,04월 03일,0,0,1,1
고종욱,넥센,04월 04일,0,1,1,2
고종욱,넥센,04월 05일,1,1,2,0
고종욱,넥센,04월 06일,1,2,0,1
고종욱,넥센,04월 08일,2,0,1,1
고종욱,넥센,04월 10일,0,1,1,0
고종욱,넥센,04월 13일,1,1,0,0
고종욱,넥센,04월 19일,1,0,0,1
고종욱,넥센,04월 20일,0,0,1,1
고종욱,넥센,04월 21일,0,1,1,0
고종욱,넥센,04월 22일,1,1,0,2
