Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
강경학,한화,2015년 04월 03일,0.0,0.0,0.325,0.0,0.1,0.0,0.2,0.9,1.0,0.0,2.1,0.2,0.05,0.275,5.0,3.9,0.05,0.2,0.0,0.1,0.0,2
강경학,한화,2015년 04월 07일,0.9,0.0,1.625,0.0,0.0,0.9,3.6,0.2,0.2,0.0,0.5,2.7,0.9,0.725,4.8,4.6,0.675,0.0,0.0,0.0,0.0,1
강경학,한화,2015년 04월 10일,0.2,0.0,1.1247,0.0,0.0,0.2,1.7,0.1,1.0,0.0,0.2,1.5,0.4997,0.625,5.7,3.8,0.4497,0.0,0.0,0.0,0.9,1
강경학,한화,2015년 04월 11일,0.1,0.0,1.4216,0.0,0.0,0.1,3.3,0.0,0.2,0.0,0.9,3.2,0.7066,0.715,5.9,5.5,0.6816,0.9,0.0,0.0,0.2,0
강경학,한화,2015년 04월 18일,0.0,0.0,0.5483,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.2,0.7,0.1533,0.395,5.1,4.0,0.1533,0.2,0.0,0.0,0.1,1
강경학,한화,2015년 04월 29일,0.0,0.0,0.395,0.0,0.0,0.0,0.3,0.0,0.2,0.9,1.0,0.3,0.06,0.335,5.8,3.8,0.06,0.1,0.0,0.0,0.9,0
강경학,한화,2015년 05월 12일,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.1,0.0,0.0,0.075,2.3,1.8,0.0,0.0,0.0,0.0,0.2,0
강경학,한화,2015년 05월 14일,0.0,0.9,0.925,0.0,0.0,0.0,2.7,0.0,0.0,0.1,1.2,0.9,0.675,0.25,4.3,4.1,0.225,1.8,0.0,0.0,0.1,1
강경학,한화,2015년 05월 15일,0.0,0.2,0.65,0.0,0.9,0.0,1.5,0.0,0.0,0.0,2.1,1.1,0.375,0.275,4.5,4.5,0.275,0.4,0.0,0.0,0.0,0
강경학,한화,2015년 05월 17일,0.0,0.1,0.4997,0.0,0.2,0.0,0.5,0.0,0.0,0.9,1.4,0.3,0.125,0.3747,3.9,3.0,0.075,0.2,0.0,0.0,0.0,1
강경학,한화,2015년 05월 19일,0.0,0.0,1.2569,0.0,0.1,0.0,2.8,0.0,0.9,0.2,0.4,2.8,0.565,0.6919,6.4,5.3,0.565,0.9,0.0,0.0,0.0,0
강경학,한화,2015년 05월 27일,0.0,0.0,0.2867,0.0,0.0,0.0,0.6,0.0,0.2,0.1,1.0,0.6,0.12,0.1667,4.2,3.9,0.12,0.2,0.0,0.0,0.0,1
강경학,한화,2015년 05월 30일,0.0,0.0,0.8764,0.0,0.0,0.0,1.2,0.0,1.0,0.0,0.2,1.2,0.3597,0.5167,4.8,3.8,0.3597,0.1,0.0,0.0,0.0,0
강경학,한화,2015년 05월 31일,0.0,0.0,0.1666,0.0,0.0,0.0,0.2,0.0,0.2,0.0,1.0,0.2,0.0666,0.1,4.7,4.5,0.0666,0.0,0.0,0.0,0.0,0
강경학,한화,2015년 06월 02일,0.0,0.0,0.6836,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.1,1.0,0.333,0.3497,4.8,3.8,0.333,0.0,0.0,0.0,0.9,3
강경학,한화,2015년 06월 03일,0.0,0.0,2.2934,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.3,2.9,1.6866,0.6066,5.7,5.5,0.6066,1.8,1.8,0.0,0.2,2
강경학,한화,2015년 06월 05일,0.9,0.0,1.0867,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.1,1.6,0.7533,0.3333,5.9,5.8,0.3333,0.4,0.4,0.0,0.1,0
강경학,한화,2015년 06월 06일,1.1,0.0,1.935,0.9,0.0,0.0,4.0,0.0,0.9,0.0,0.0,2.3,1.16,0.775,5.1,4.2,0.7003,0.2,0.2,0.0,0.0,1
강경학,한화,2015년 06월 07일,0.3,0.0,1.535,0.2,0.0,0.0,1.7,0.0,2.0,0.0,0.0,1.4,0.69,0.845,5.8,2.9,0.6034,1.8,0.0,0.0,0.9,0
강경학,한화,2015년 06월 10일,0.1,0.0,1.01,0.1,0.0,0.0,1.4,0.0,1.4,0.0,1.8,1.3,0.425,0.585,5.9,4.3,0.3917,0.4,0.0,0.0,0.2,2
강경학,한화,2015년 06월 11일,0.9,0.0,1.065,0.0,0.0,0.0,2.1,0.0,1.3,0.0,0.4,1.2,0.55,0.515,6.0,4.6,0.325,0.2,0.0,0.0,0.1,0
강경학,한화,2015년 06월 12일,1.1,0.0,1.055,0.0,0.0,0.0,2.3,0.0,1.2,0.0,1.1,1.2,0.575,0.48,6.0,4.8,0.3,0.9,0.0,0.0,0.0,1
강경학,한화,2015년 06월 13일,0.3,0.0,0.8703,0.0,0.0,0.0,2.4,0.0,0.3,0.0,2.9,2.1,0.4497,0.4197,6.9,6.6,0.3747,0.2,0.0,0.0,0.0,2
강경학,한화,2015년 06월 14일,0.1,0.0,0.9434,0.0,0.0,0.0,2.4,0.0,0.1,0.0,1.6,2.3,0.4766,0.4666,6.2,6.1,0.4516,0.1,0.0,0.0,0.0,2
강경학,한화,2015년 06월 16일,0.0,0.0,1.502,0.0,0.0,0.0,2.4,0.0,0.9,0.0,1.4,2.4,0.7136,0.7883,6.1,4.3,0.7136,0.9,0.0,0.0,0.9,0
강경학,한화,2015년 06월 17일,0.0,0.0,0.3634,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.3,0.6,0.1734,0.19,5.1,4.7,0.1734,0.2,0.0,0.0,0.2,1
강경학,한화,2015년 06월 18일,0.0,0.0,0.3667,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.1,0.2,0.0667,0.3,5.8,3.8,0.0667,0.1,0.0,0.0,1.0,0
강경학,한화,2015년 06월 19일,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.275,5.0,3.7,0.0,0.0,0.0,0.0,0.2,1
강경학,한화,2015년 06월 20일,0.0,0.0,0.525,0.0,0.0,0.0,0.9,0.0,0.3,0.0,0.0,0.9,0.225,0.3,4.9,4.5,0.225,0.0,0.0,0.0,0.1,0
강경학,한화,2015년 07월 22일,0.0,0.0,0.485,0.0,0.0,0.0,1.1,0.9,0.1,0.0,1.8,1.1,0.23,0.255,5.7,5.6,0.23,0.9,0.0,0.0,0.0,0
강경학,한화,2015년 07월 24일,0.0,0.0,0.13,0.0,0.0,0.0,0.3,0.2,0.0,0.0,1.3,0.3,0.065,0.065,5.0,5.0,0.065,1.1,0.0,0.0,0.0,1
강경학,한화,2015년 07월 30일,0.0,0.0,0.49,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.4,1.0,0.245,0.245,4.9,4.9,0.245,0.3,0.0,0.0,0.0,2
강경학,한화,2015년 07월 31일,0.0,0.0,1.4203,0.0,0.0,0.0,2.0,0.0,1.8,0.0,0.1,2.0,0.6503,0.77,5.7,3.9,0.6503,0.1,0.0,0.0,0.0,0
강경학,한화,2015년 08월 01일,0.0,0.0,1.3334,0.0,0.0,0.9,2.3,0.0,1.3,0.0,0.9,2.3,0.6084,0.725,5.9,4.6,0.6084,1.8,0.0,0.0,0.0,2
강경학,한화,2015년 08월 02일,0.0,0.0,1.2667,0.0,0.0,0.2,3.3,0.0,0.4,0.0,1.1,3.3,0.6167,0.65,6.9,6.5,0.6167,0.4,0.0,0.0,0.0,0
강경학,한화,2015년 08월 04일,0.0,0.0,0.535,0.0,0.0,0.1,0.8,0.0,1.0,0.0,0.3,0.8,0.15,0.385,5.3,4.3,0.15,0.2,0.0,0.0,0.0,0
강경학,한화,2015년 08월 06일,0.0,0.0,0.6,0.0,0.0,0.0,1.2,0.0,0.2,0.0,1.0,1.2,0.275,0.325,5.0,4.8,0.275,0.0,0.0,0.0,0.0,0
