Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강승현,롯데,2016년 08월 09일,0.8,0.0,1.8,nan,0.6979,1.597,0.0,0.8,0.0,2.2,0.0,0.0,0.0,2.4,0.0,0.0,1.77,0.2,1.0,7.6,0.276,8.4,32.8,0.0,0.0,0.0,5
강승현,한화,2017년 06월 08일,0.9,0.0,31.5,nan,1.7088,5.242,0.0,1.6,0.0,1.3,0.0,0.0,0.0,4.1,0.0,0.0,1.22,3.5,1.0,7.7,0.5041,9.3,37.0,0.0,0.0,1.4,1
강승현,한화,2017년 06월 14일,1.0,0.0,12.78,nan,1.3245,2.411,0.0,0.5,0.0,2.6,0.0,0.0,0.0,2.7,0.0,0.0,1.25,1.7,1.0,7.4,0.3585,7.9,28.2,0.0,0.0,1.1,0
강승현,한화,2017년 06월 15일,0.3,0.0,5.58,nan,0.4486,0.94,0.0,0.2,0.0,2.8,0.0,0.0,0.0,0.9,0.0,0.0,1.04,0.7,1.0,4.3,0.1197,4.5,17.7,0.0,0.0,0.4,0
강승현,한화,2017년 06월 17일,0.1,0.0,0.54,nan,0.5693,1.52,0.0,0.7,0.0,1.6,0.0,0.0,0.0,0.9,0.0,0.0,1.02,0.1,1.0,4.1,0.2036,4.8,18.2,0.0,0.0,0.1,0
강승현,한화,2017년 06월 18일,0.0,0.0,0.0,nan,0.13,0.4,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,1.0,3.2,0.05,3.4,15.6,0.0,0.0,0.0,2
강승현,한화,2017년 06월 20일,0.0,0.0,12.6,nan,1.045,1.6,0.0,0.8,0.0,1.7,0.0,0.0,0.0,0.8,0.0,0.0,1.0,1.4,1.0,3.8,0.2,4.6,18.9,0.0,0.0,0.7,0
강승현,한화,2017년 06월 25일,0.0,0.0,3.6,nan,0.28,0.4,0.0,0.2,0.0,2.6,0.0,0.0,0.0,0.2,0.0,0.0,1.14,0.4,1.0,3.9,0.05,4.1,25.8,0.0,0.0,0.2,1
강승현,한화,2017년 06월 30일,0.7,0.0,3.9,nan,0.4956,1.131,0.0,2.2,0.0,3.6,0.0,0.0,0.0,0.8,0.0,0.0,2.44,0.9,1.0,8.2,0.095,10.4,45.6,0.0,0.7,0.1,5
강승현,한화,2017년 07월 04일,0.9,0.0,9.0,nan,0.9017,2.366,0.0,3.4,0.0,3.9,0.7,0.0,0.0,3.7,0.0,0.0,2.82,3.0,1.0,12.2,0.2699,15.6,68.3,0.0,0.2,0.7,2
강승현,한화,2017년 07월 06일,1.0,0.7,9.0,2.433,1.0263,2.133,0.0,1.8,0.0,3.3,0.2,0.0,0.0,3.2,0.0,0.0,2.3,2.3,1.0,10.1,0.3145,11.9,49.0,0.0,0.1,0.2,1
강승현,한화,2017년 07월 21일,1.0,0.2,6.15,nan,0.9402,1.75,0.0,0.6,0.0,2.4,0.1,0.0,0.0,3.2,0.0,0.0,2.1,1.5,1.0,8.8,0.3648,9.4,31.9,0.0,0.0,0.1,1
강승현,한화,2017년 07월 26일,0.3,0.1,6.525,nan,0.6317,1.025,0.0,0.1,0.0,1.4,0.0,0.0,0.0,1.6,0.0,0.0,1.37,1.1,1.0,5.3,0.2833,6.1,21.2,0.0,0.0,0.0,0
강승현,한화,2017년 07월 29일,0.1,0.0,1.8,nan,0.1875,0.3,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.5,0.0,0.0,1.12,0.3,1.0,3.7,0.0875,3.9,14.3,0.0,0.0,0.0,0
강승현,한화,2017년 08월 03일,0.0,0.0,0.675,nan,0.5169,0.978,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.2,0.0,0.0,1.78,0.1,1.0,7.3,0.2581,7.4,26.6,0.0,0.0,0.0,3
강승현,한화,2017년 08월 05일,0.7,0.0,14.175,nan,0.8334,2.358,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4,0.0,0.0,1.29,2.1,1.0,8.4,0.3774,8.4,27.9,0.0,0.0,0.0,1
강승현,한화,2017년 08월 08일,1.6,0.0,10.35,nan,1.1067,2.129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,0.0,0.0,1.13,1.3,1.0,6.2,0.4021,6.2,21.6,0.0,0.0,0.0,0
강승현,한화,2017년 09월 01일,0.5,0.0,3.825,nan,0.69,1.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.5,0.0,0.0,1.01,0.5,1.0,4.7,0.2994,4.7,14.9,0.0,0.0,0.0,0
강승현,한화,2017년 09월 02일,0.2,0.0,0.9,nan,0.4531,1.1,0.0,0.7,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,1.0,0.1,1.0,2.7,0.09,3.4,13.3,0.0,0.0,0.0,0
강승현,한화,2017년 09월 07일,0.0,0.0,0.0,nan,0.5835,1.14,0.0,0.2,0.0,1.6,0.0,0.0,0.0,1.5,0.0,0.0,1.14,0.0,1.0,5.0,0.2581,5.2,19.2,0.0,0.0,0.0,1
