Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강윤구,NC,2017년 07월 09일,0.9,0.0,12.06,0.309,1.426,3.22,0.0,3.5,0.0,1.1,1.0,0.0,0.0,1.9,0.0,0.0,1.34,2.2,1.0,6.2,0.3081,9.7,43.2,0.0,0.0,0.8,2
강윤구,NC,2017년 08월 08일,1.7,0.0,7.71,nan,1.1975,1.901,0.0,1.1,0.7,2.5,1.0,0.0,0.0,3.4,0.0,0.0,2.54,2.1,1.0,10.4,0.3247,12.2,43.9,0.0,0.0,0.9,2
강윤구,NC,2017년 08월 20일,0.5,0.0,4.8,nan,0.7811,1.466,0.0,1.1,0.2,4.9,1.0,0.0,0.0,4.5,0.0,0.0,4.22,2.0,1.0,16.3,0.284,18.3,67.8,0.7,0.0,0.3,3
고영표,kt,2017년 04월 23일,1.4,0.0,5.827,nan,0.7773,1.381,0.0,0.4,0.3,6.0,1.0,0.0,0.1,7.1,0.0,0.0,5.21,3.5,1.0,23.7,0.2982,24.4,104.6,0.9,0.0,0.8,6
고영표,kt,2017년 04월 29일,2.5,0.0,11.276,nan,1.0416,2.174,0.0,2.3,0.8,6.0,1.0,0.0,0.0,7.0,0.0,0.0,4.34,5.3,1.0,20.4,0.3459,23.5,89.0,1.0,0.0,0.9,0
고영표,kt,2017년 05월 07일,0.8,0.0,3.375,nan,0.6253,1.119,0.0,0.6,1.6,6.0,1.0,0.0,0.7,6.4,0.7,0.7,7.61,1.6,1.0,27.9,0.2427,30.1,106.3,0.3,0.0,0.3,0
고영표,kt,2017년 05월 13일,0.3,0.0,1.35,nan,0.4555,0.853,0.0,1.0,1.2,6.0,1.0,0.0,0.9,4.0,0.2,0.2,6.4,0.6,1.0,22.8,0.1757,25.0,86.8,0.1,0.0,0.1,2
고영표,kt,2017년 05월 19일,0.7,0.0,1.89,nan,0.5328,0.831,0.0,0.9,1.1,6.0,1.0,0.0,1.0,4.7,0.1,0.1,6.44,1.4,1.0,25.5,0.1824,27.5,92.4,0.0,0.0,0.7,4
고영표,kt,2017년 05월 26일,0.9,0.0,3.69,nan,0.571,1.038,0.0,0.3,0.3,6.0,1.0,0.0,0.3,7.6,0.0,0.0,7.44,3.2,1.0,29.7,0.2494,30.3,98.7,0.7,0.0,0.2,3
고영표,kt,2017년 06월 01일,0.3,0.0,4.152,nan,0.6369,0.981,0.0,0.8,0.8,6.0,1.0,0.0,0.1,5.8,0.0,0.0,6.49,3.1,1.0,24.4,0.2343,26.7,86.6,0.2,0.0,0.8,6
고영표,kt,2017년 06월 08일,2.9,0.0,7.602,nan,0.9744,1.353,0.0,0.2,0.2,6.0,1.0,0.0,0.0,8.2,0.0,0.0,6.22,5.2,1.0,25.1,0.3255,25.7,96.5,0.8,0.0,1.6,5
고영표,kt,2017년 06월 14일,1.5,0.0,6.524,nan,0.7466,1.158,0.0,0.8,1.5,3.9,1.0,0.0,0.0,7.2,0.0,0.0,6.78,5.0,1.0,25.4,0.283,28.5,87.6,0.9,0.0,0.5,5
고영표,kt,2017년 06월 20일,2.0,0.0,17.878,nan,1.3731,3.168,0.0,0.2,0.4,4.0,1.0,0.0,0.0,7.9,0.0,0.0,3.42,5.1,1.0,16.8,0.5203,17.6,63.4,0.3,0.0,0.9,7
고영표,kt,2017년 06월 28일,1.2,0.0,13.934,nan,1.0883,2.309,0.0,0.1,0.2,3.2,1.0,0.0,0.0,9.3,0.0,0.0,4.61,6.4,1.0,22.0,0.4418,23.1,84.0,0.8,0.0,0.9,3
고영표,kt,2017년 07월 05일,0.4,0.0,7.605,nan,0.7696,1.64,0.0,1.4,0.7,4.5,1.0,0.0,0.0,7.0,0.0,0.0,5.54,4.0,1.0,22.9,0.3199,25.2,85.4,0.2,0.0,0.3,2
고영표,kt,2017년 07월 12일,1.5,0.7,4.058,nan,0.7969,1.322,0.0,1.1,1.6,3.4,1.0,0.0,0.0,7.1,0.0,0.0,6.01,2.7,1.0,24.0,0.2961,26.8,91.3,0.8,0.0,0.1,6
고영표,kt,2017년 07월 19일,2.5,0.2,8.533,nan,1.0697,1.912,0.0,0.4,1.9,3.9,1.0,0.0,0.0,9.7,0.0,0.0,5.34,4.9,1.0,21.9,0.4502,24.9,79.7,0.9,0.0,0.0,4
고영표,kt,2017년 07월 25일,1.5,0.1,3.557,nan,0.7711,1.434,0.0,0.8,1.3,2.5,1.0,0.0,0.0,7.1,0.0,0.0,5.25,2.1,1.0,22.0,0.3251,25.7,92.1,1.0,0.0,0.0,2
고영표,kt,2017년 07월 30일,1.2,0.0,3.498,nan,0.8637,1.749,0.0,0.9,0.4,4.3,1.0,0.0,0.0,9.3,0.0,0.0,5.74,2.2,1.0,26.1,0.3569,27.9,92.0,0.3,0.0,0.7,5
고영표,kt,2017년 08월 06일,1.7,0.0,5.484,nan,0.8143,1.435,0.0,0.3,0.1,3.3,1.0,0.0,0.0,8.9,0.0,0.0,6.06,4.0,1.0,27.4,0.3234,28.7,106.0,0.8,0.0,0.9,2
고영표,kt,2017년 08월 13일,1.9,0.0,3.449,nan,0.6924,1.153,0.0,0.1,0.0,6.0,1.0,0.0,0.7,7.7,0.0,0.0,6.74,2.6,1.0,25.9,0.2959,27.6,106.4,0.2,0.0,0.3,3
고영표,kt,2017년 08월 20일,1.3,0.0,4.339,nan,0.6566,1.035,0.0,0.7,0.0,8.0,1.0,0.0,0.9,5.8,0.0,0.0,6.22,3.0,1.0,23.9,0.24,25.1,93.4,0.1,0.0,0.8,1
고영표,kt,2017년 08월 29일,0.4,0.0,2.34,nan,0.6909,1.091,0.0,0.9,1.4,6.7,1.0,0.0,1.0,5.2,0.0,0.7,5.47,1.5,1.0,21.8,0.238,24.3,88.3,0.0,0.0,0.9,5
고영표,kt,2017년 09월 03일,0.8,0.0,11.288,nan,0.8866,1.957,0.0,0.3,0.4,4.9,1.0,0.0,0.3,6.4,0.0,0.2,3.72,4.0,1.0,17.0,0.3962,18.4,62.3,0.7,0.0,0.3,4
고원준,두산,2016년 06월 03일,0.7,0.0,3.6,nan,0.7346,1.514,0.0,2.1,0.1,3.7,1.0,0.0,0.0,4.4,0.0,0.0,4.2,1.2,1.0,15.6,0.2587,17.8,70.1,0.2,0.0,0.4,1
고원준,두산,2017년 04월 02일,0.2,0.0,3.06,nan,0.6103,1.247,0.0,2.0,0.7,3.9,1.0,0.0,0.7,3.7,0.0,0.0,4.8,1.3,1.0,16.3,0.2257,19.0,75.3,0.1,0.0,0.2,2
고원준,두산,2017년 04월 09일,0.8,0.0,3.265,1.267,0.6844,1.796,0.0,3.5,0.2,4.1,1.0,0.0,0.2,4.5,0.0,0.0,4.37,1.6,1.0,17.5,0.2557,21.2,82.3,0.0,0.0,0.0,5
고원준,두산,2017년 09월 16일,0.2,0.0,32.51,0.4,1.1437,4.716,0.0,3.1,0.1,1.2,1.0,0.0,0.1,3.4,0.0,0.0,2.02,4.0,1.0,8.7,0.4944,11.9,50.3,0.7,0.0,0.0,2
고효준,KIA,2016년 08월 24일,1.1,0.0,4.86,1.997,0.6721,1.61,0.0,2.8,0.0,5.4,1.0,0.0,0.0,3.5,0.0,0.0,4.44,2.0,1.0,16.5,0.2113,19.4,75.6,0.3,0.0,0.4,3
고효준,KIA,2016년 08월 30일,1.0,0.0,4.076,1.199,0.7364,1.492,0.0,3.0,0.0,3.6,1.0,0.0,0.0,3.9,0.0,0.0,4.79,2.0,1.0,18.0,0.2194,21.0,89.2,0.1,0.0,0.8,7
고효준,KIA,2016년 09월 08일,0.3,0.0,10.306,1.602,1.1638,2.252,0.0,3.0,0.0,4.8,1.0,0.0,0.0,5.2,0.0,0.0,3.69,4.0,1.0,15.2,0.355,19.6,80.2,0.7,0.0,1.6,3
고효준,KIA,2016년 09월 18일,0.1,0.0,6.37,3.234,0.9099,1.658,0.0,2.3,0.0,6.9,1.0,0.0,0.0,5.8,0.0,0.0,4.77,3.3,1.0,18.7,0.3169,22.1,92.8,0.2,0.0,1.2,1
고효준,KIA,2016년 10월 06일,0.0,0.0,3.758,2.367,0.8044,1.847,0.7,2.8,0.7,6.3,1.0,0.0,0.0,5.3,0.0,0.0,4.22,1.8,1.0,17.3,0.3087,21.9,89.3,0.1,0.0,0.4,4
고효준,KIA,2017년 04월 19일,0.7,0.0,10.342,4.3,0.9601,1.827,0.2,1.5,0.2,5.5,1.0,0.0,0.0,4.4,0.0,0.0,2.88,3.3,1.0,13.8,0.3219,15.8,66.0,0.7,0.0,0.8,3
