Name,Team,date,2B1,3B1,ERA1,K/BB1,OPS1,WHIP1,IBB1,BB1,HBP1,K1,GS1,S1,W1,HIT1,SO1,CG1,INNING1,ER1,GP1,BF1,BA1,PA1,PITCH1,L1,HOLD1,HR1,2B2,3B2,ERA2,K/BB2,OPS2,WHIP2,IBB2,BB2,HBP2,K2,GS2,S2,W2,HIT2,SO2,CG2,INNING2,ER2,GP2,BF2,BA2,PA2,PITCH2,L2,HOLD2,HR2,2B3,3B3,ERA3,K/BB3,OPS3,WHIP3,IBB3,BB3,HBP3,K3,GS3,S3,W3,HIT3,SO3,CG3,INNING3,ER3,GP3,BF3,BA3,PA3,PITCH3,L3,HOLD3,HR3,GA
고영표,KT,05월 08일,3,0,10.13,6,0.984,1.69,0,1,0,6,1,0,0,8,0,0,5.1,6,1,23,0.348,24,97,1,0,1,1,0,1.5,0,0.8,1.33,0,0,0,5,1,0,1,8,0,0,6,1,1,25,0.32,25,106,0,0,1,1,0,2,4.5,0.469,0.67,0,2,0,9,1,0,1,4,0,1,9,2,1,29,0.138,32,108,0,0,1,7
고영표,KT,05월 13일,1,0,1.5,0,0.8,1.33,0,0,0,5,1,0,1,8,0,0,6,1,1,25,0.32,25,106,0,0,1,1,0,2,4.5,0.469,0.67,0,2,0,9,1,0,1,4,0,1,9,2,1,29,0.138,32,108,0,0,1,1,1,7.2,2,1.128,2,0,2,2,4,1,0,0,8,0,0,5,4,1,21,0.381,26,108,1,0,1,3
고영표,KT,05월 19일,1,0,2,4.5,0.469,0.67,0,2,0,9,1,0,1,4,0,1,9,2,1,29,0.138,32,108,0,0,1,1,1,7.2,2,1.128,2,0,2,2,4,1,0,0,8,0,0,5,4,1,21,0.381,26,108,1,0,1,4,0,4.5,7,0.86,1.5,0,1,0,7,1,0,0,8,0,0,6,3,1,24,0.333,26,104,1,0,0,0
고영표,KT,05월 24일,1,1,7.2,2,1.128,2,0,2,2,4,1,0,0,8,0,0,5,4,1,21,0.381,26,108,1,0,1,4,0,4.5,7,0.86,1.5,0,1,0,7,1,0,0,8,0,0,6,3,1,24,0.333,26,104,1,0,0,1,0,0,0,0.529,0.86,0,0,1,7,1,0,0,6,0,0,7,0,1,26,0.231,27,81,0,0,0,1
고영표,KT,05월 30일,4,0,4.5,7,0.86,1.5,0,1,0,7,1,0,0,8,0,0,6,3,1,24,0.333,26,104,1,0,0,1,0,0,0,0.529,0.86,0,0,1,7,1,0,0,6,0,0,7,0,1,26,0.231,27,81,0,0,0,0,0,1,11,0.469,0.89,0,1,1,11,1,0,1,7,0,1,9,1,1,33,0.212,35,128,0,0,0,4
고영표,KT,06월 05일,1,0,0,0,0.529,0.86,0,0,1,7,1,0,0,6,0,0,7,0,1,26,0.231,27,81,0,0,0,0,0,1,11,0.469,0.89,0,1,1,11,1,0,1,7,0,1,9,1,1,33,0.212,35,128,0,0,0,0,0,4.26,2,0.644,0.95,0,1,1,2,1,0,0,5,0,0,6.1,3,1,22,0.227,26,89,1,0,1,5
고영표,KT,06월 10일,0,0,1,11,0.469,0.89,0,1,1,11,1,0,1,7,0,1,9,1,1,33,0.212,35,128,0,0,0,0,0,4.26,2,0.644,0.95,0,1,1,2,1,0,0,5,0,0,6.1,3,1,22,0.227,26,89,1,0,1,1,1,6.75,0,0.786,1.2,0,0,0,4,1,0,0,8,0,0,6.2,5,1,28,0.286,28,98,1,0,1,6
고영표,KT,06월 16일,0,0,4.26,2,0.644,0.95,0,1,1,2,1,0,0,5,0,0,6.1,3,1,22,0.227,26,89,1,0,1,1,1,6.75,0,0.786,1.2,0,0,0,4,1,0,0,8,0,0,6.2,5,1,28,0.286,28,98,1,0,1,1,0,9,7,0.926,2.4,0,1,1,7,1,0,0,11,0,0,5,5,1,26,0.423,28,97,1,0,0,4
고영표,KT,06월 22일,1,1,6.75,0,0.786,1.2,0,0,0,4,1,0,0,8,0,0,6.2,5,1,28,0.286,28,98,1,0,1,1,0,9,7,0.926,2.4,0,1,1,7,1,0,0,11,0,0,5,5,1,26,0.423,28,97,1,0,0,1,0,5.68,3,0.73,1.42,0,1,1,3,1,0,0,8,0,0,6.1,4,1,25,0.32,28,92,1,0,0,5
고영표,KT,06월 30일,1,0,9,7,0.926,2.4,0,1,1,7,1,0,0,11,0,0,5,5,1,26,0.423,28,97,1,0,0,1,0,5.68,3,0.73,1.42,0,1,1,3,1,0,0,8,0,0,6.1,4,1,25,0.32,28,92,1,0,0,1,0,9,3,1.136,2,0,1,1,3,1,0,0,9,0,0,5,5,1,23,0.391,25,99,0,0,2,0
고영표,KT,07월 07일,1,0,5.68,3,0.73,1.42,0,1,1,3,1,0,0,8,0,0,6.1,4,1,25,0.32,28,92,1,0,0,1,0,9,3,1.136,2,0,1,1,3,1,0,0,9,0,0,5,5,1,23,0.391,25,99,0,0,2,0,0,0,3,0.411,0.53,0,1,2,3,1,0,1,2,1,1,5.2,0,1,15,0.133,18,63,0,0,0,1
고영표,KT,07월 12일,1,0,9,3,1.136,2,0,1,1,3,1,0,0,9,0,0,5,5,1,23,0.391,25,99,0,0,2,0,0,0,3,0.411,0.53,0,1,2,3,1,0,1,2,1,1,5.2,0,1,15,0.133,18,63,0,0,0,1,0,1.29,4.5,0.513,1,0,2,2,9,1,0,1,5,0,0,7,1,1,27,0.185,31,109,0,0,0,1
고우석,LG,04월 14일,0,1,9,1,1.25,2,0,1,1,1,0,0,0,1,0,0,1,1,1,4,0.25,6,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2,0,1,5,0,5,21,0,0,0,0
고우석,LG,04월 19일,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2,0,1,5,0,5,21,0,0,0,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,16,0,0,0,0
고우석,LG,04월 22일,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.2,0,1,5,0,5,21,0,0,0,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,16,0,0,0,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,13,0,0,0,0
고우석,LG,04월 24일,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,16,0,0,0,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,13,0,0,0,0,0,0,0,0.833,2,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0.333,5,24,0,0,0,1
고우석,LG,04월 27일,1,0,0,0,0.75,1,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0.25,4,13,0,0,0,0,0,0,0,0.833,2,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0.333,5,24,0,0,0,0,0,0,2,0.533,2,0,1,0,2,0,0,0,1,0,0,1,0,1,5,0.2,6,21,0,0,0,0
고우석,LG,05월 03일,0,0,0,0,0.833,2,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0.333,5,24,0,0,0,0,0,0,2,0.533,2,0,1,0,2,0,0,0,1,0,0,1,0,1,5,0.2,6,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,0,6,18,0,0,0,0
고우석,LG,05월 06일,0,0,0,2,0.533,2,0,1,0,2,0,0,0,1,0,0,1,0,1,5,0.2,6,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,0,6,18,0,0,0,0,0,0,0,0.667,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0.333,3,7,0,0,0,3
고우석,LG,05월 10일,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,0,6,18,0,0,0,0,0,0,0,0.667,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0.333,3,7,0,0,0,2,0,13.5,0,1.055,2.5,0,1,0,0,0,0,0,4,0,0,2,3,1,10,0.4,11,40,0,0,0,0
고우석,LG,05월 13일,0,0,0,0,0.667,1,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0.333,3,7,0,0,0,2,0,13.5,0,1.055,2.5,0,1,0,0,0,0,0,4,0,0,2,3,1,10,0.4,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,7,0,0,0,2
고우석,LG,05월 23일,2,0,13.5,0,1.055,2.5,0,1,0,0,0,0,0,4,0,0,2,3,1,10,0.4,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,7,0,0,0,1,0,18,0,1.771,3,0,1,1,0,0,0,0,2,0,0,1,2,1,5,0.4,7,22,0,0,1,0
고우석,LG,05월 25일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,7,0,0,0,1,0,18,0,1.771,3,0,1,1,0,0,0,0,2,0,0,1,2,1,5,0.4,7,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,14,0,0,0,2
고우석,LG,05월 31일,1,0,18,0,1.771,3,0,1,1,0,0,0,0,2,0,0,1,2,1,5,0.4,7,22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,14,0,0,0,0,0,9,0.5,0.65,2,0,2,0,1,0,0,0,2,0,0,2,2,1,8,0.25,10,34,0,0,0,1
고우석,LG,06월 06일,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,14,0,0,0,0,0,9,0.5,0.65,2,0,2,0,1,0,0,0,2,0,0,2,2,1,8,0.25,10,34,0,0,0,1,0,3.86,0,0.889,0.86,0,0,0,2,0,0,0,2,0,0,2.1,1,1,9,0.222,9,35,0,0,1,0
고우석,LG,06월 09일,0,0,9,0.5,0.65,2,0,2,0,1,0,0,0,2,0,0,2,2,1,8,0.25,10,34,0,0,0,1,0,3.86,0,0.889,0.86,0,0,0,2,0,0,0,2,0,0,2.1,1,1,9,0.222,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,6,0,6,14,0,0,0,0
고우석,LG,06월 12일,1,0,3.86,0,0.889,0.86,0,0,0,2,0,0,0,2,0,0,2.1,1,1,9,0.222,9,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,6,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,8,0,0,0,1
고우석,LG,06월 17일,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,6,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,8,0,0,0,0,0,3.38,1,0.444,1.5,0,3,0,3,0,0,0,1,0,0,2.2,1,1,9,0.111,12,49,0,0,0,1
고우석,LG,06월 20일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,8,0,0,0,0,0,3.38,1,0.444,1.5,0,3,0,3,0,0,0,1,0,0,2.2,1,1,9,0.111,12,49,0,0,0,0,0,3.38,1,0.522,1.13,0,1,0,1,0,0,1,2,0,0,2.2,1,1,9,0.222,10,29,0,0,0,2
고우석,LG,06월 23일,0,0,3.38,1,0.444,1.5,0,3,0,3,0,0,0,1,0,0,2.2,1,1,9,0.111,12,49,0,0,0,0,0,3.38,1,0.522,1.13,0,1,0,1,0,0,1,2,0,0,2.2,1,1,9,0.222,10,29,0,0,0,1,0,13.5,0,0.929,2.25,0,1,0,0,0,0,0,2,0,0,1.1,2,1,6,0.333,7,28,0,0,0,1
고우석,LG,06월 27일,0,0,3.38,1,0.522,1.13,0,1,0,1,0,0,1,2,0,0,2.2,1,1,9,0.222,10,29,0,0,0,1,0,13.5,0,0.929,2.25,0,1,0,0,0,0,0,2,0,0,1.1,2,1,6,0.333,7,28,0,0,0,0,0,6.75,0.5,1.333,3,0,2,0,1,0,0,0,2,0,0,1.1,1,1,6,0.333,8,37,0,0,1,0
고우석,LG,07월 05일,1,0,13.5,0,0.929,2.25,0,1,0,0,0,0,0,2,0,0,1.1,2,1,6,0.333,7,28,0,0,0,0,0,6.75,0.5,1.333,3,0,2,0,1,0,0,0,2,0,0,1.1,1,1,6,0.333,8,37,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,0,6,24,0,0,0,0
고우석,LG,07월 06일,0,0,6.75,0.5,1.333,3,0,2,0,1,0,0,0,2,0,0,1.1,1,1,6,0.333,8,37,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,0,6,24,0,0,0,0,0,0,0,0.8,2,0,0,0,1,0,0,0,2,0,0,1,0,1,5,0.4,5,16,0,0,0,0
고우석,LG,07월 08일,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,6,0,6,24,0,0,0,0,0,0,0,0.8,2,0,0,0,1,0,0,0,2,0,0,1,0,1,5,0.4,5,16,0,0,0,1,0,0,1,0.536,1,0,1,0,1,0,0,0,1,0,0,2,0,1,7,0.143,8,33,0,0,0,0
고창성,KT,04월 05일,0,0,0,0,0.5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,4,0.25,4,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1,5,0,5,8,0,1,0,0,0,0,0,0.167,0,0,0,1,1,0,0,0,0,0,0,2,0,1,5,0,6,28,0,1,0,2
고창성,KT,04월 11일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1,5,0,5,8,0,1,0,0,0,0,0,0.167,0,0,0,1,1,0,0,0,0,0,0,2,0,1,5,0,6,28,0,1,0,0,0,18,0.5,0.971,4,0,2,0,1,0,0,0,2,0,0,1,2,1,5,0.4,7,26,0,0,0,0
