Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,H,SH,SF,R
강경학,한화,2015년 08월 07일,0,0,1.5,0,1,0,3,0,0,0,0,3,0.75,0.75,6,4,0.75,0,0,0,2,1
강경학,한화,2015년 08월 08일,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0.5,5,2,0,0,0,0,1,1
강경학,한화,2015년 08월 09일,0,0,1.417,0,0,1,2,0,0,1,1,2,0.667,0.75,4,3,0.667,0,0,0,0,0
강경학,한화,2015년 08월 11일,0,0,1.167,0,0,0,1,0,1,0,0,1,0.5,0.667,5,2,0.5,0,0,0,2,1
강경학,한화,2015년 08월 12일,0,0,1.167,0,0,0,2,0,1,1,1,2,0.5,0.667,6,4,0.5,0,0,0,0,2
강경학,한화,2015년 08월 13일,0,0,0.65,0,0,0,1,0,0,1,1,1,0.25,0.4,5,4,0.25,0,0,0,0,0
강경학,한화,2015년 08월 14일,0,0,0.4,0,0,0,1,0,0,0,0,1,0.2,0.2,5,5,0.2,0,0,0,0,1
강경학,한화,2015년 08월 15일,0,0,0.5,0,0,0,1,0,0,0,1,1,0.25,0.25,5,4,0.25,0,0,0,1,0
강경학,한화,2015년 08월 16일,0,1,2.05,0,0,0,5,0,1,0,0,3,1.25,0.8,5,4,0.75,1,0,0,0,1
강경학,한화,2015년 08월 18일,0,0,0.667,0,0,0,1,0,0,0,0,1,0.333,0.333,4,3,0.333,0,0,0,1,0
강경학,한화,2015년 08월 19일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 08월 20일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2015년 08월 21일,0,0,0.4,0,0,0,1,0,0,0,1,1,0.2,0.2,5,5,0.2,0,0,0,0,2
강경학,한화,2015년 08월 22일,0,0,0.8,0,0,0,2,0,0,0,1,2,0.4,0.4,5,5,0.4,0,0,0,0,1
강경학,한화,2015년 08월 23일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,5,3,0,1,0,0,1,0
강경학,한화,2015년 09월 08일,0,0,0.5,0,0,0,1,0,0,0,2,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강경학,한화,2015년 09월 09일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,1,0,1,0,0
강경학,한화,2015년 09월 11일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0
강경학,한화,2015년 09월 13일,0,0,0.833,0,0,0,1,0,1,0,1,1,0.333,0.5,4,3,0.333,0,0,0,0,2
강경학,한화,2015년 09월 15일,0,0,1.417,0,0,0,2,0,1,0,0,2,0.667,0.75,4,3,0.667,2,0,0,0,1
강경학,한화,2015년 09월 17일,0,1,1.25,0,0,0,3,0,0,0,0,1,1,0.25,4,3,0.333,1,0,1,0,1
강경학,한화,2015년 09월 18일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0
강경학,한화,2015년 09월 19일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2015년 09월 20일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2015년 09월 25일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0
강경학,한화,2015년 09월 26일,0,0,0.6,0,0,0,0,0,3,0,1,0,0,0.6,5,2,0,0,0,0,0,1
강경학,한화,2015년 10월 02일,1,0,1.25,0,0,0,3,0,0,0,1,2,0.75,0.5,5,4,0.5,1,0,0,1,0
강경학,한화,2015년 10월 03일,0,0,0.667,0,0,0,1,0,0,0,1,1,0.333,0.333,4,3,0.333,0,0,0,1,0
강경학,한화,2016년 04월 06일,0,0,1.25,0,0,0,4,0,0,0,0,1,1,0.25,4,4,0.25,1,1,0,0,1
강경학,한화,2016년 04월 08일,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0.5,4,2,0,1,0,0,0,1
강경학,한화,2016년 04월 09일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2016년 04월 10일,0,0,1,0,0,0,2,0,0,0,0,2,0.5,0.5,4,4,0.5,0,0,0,0,0
강경학,한화,2016년 04월 15일,0,0,0.5,0,0,0,1,2,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강경학,한화,2016년 04월 19일,0,0,0.25,0,0,0,0,0,1,0,2,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2016년 06월 17일,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,1,0
강경학,한화,2016년 06월 18일,0,0,0.583,0,0,0,1,0,0,0,1,1,0.333,0.25,4,3,0.333,1,0,1,0,0
강경학,한화,2016년 06월 21일,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,1,0
강경학,한화,2016년 06월 23일,0,0,0.5,0,0,0,1,0,0,0,2,1,0.25,0.25,5,4,0.25,0,0,0,1,0
강경학,한화,2016년 06월 24일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2016년 06월 25일,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2016년 07월 12일,0,0,0.833,0,0,0,1,0,1,0,1,1,0.333,0.5,4,3,0.333,0,0,0,0,1
강경학,한화,2016년 07월 13일,0,0,0.5,0,0,0,1,0,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,1
강경학,한화,2016년 07월 14일,0,1,1.5,0,0,0,3,0,0,1,1,1,1,0.5,4,3,0.333,0,0,0,0,2
강경학,한화,2016년 07월 19일,1,1,2.417,0,0,0,5,0,1,0,0,2,1.667,0.75,5,3,0.667,3,0,0,1,2
강경학,한화,2016년 07월 21일,0,0,0.4,0,0,0,1,1,0,0,0,1,0.2,0.2,5,5,0.2,0,0,0,0,1
강경학,한화,2016년 07월 24일,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0
강경학,한화,2017년 04월 02일,0,0,0.333,0,0,0,1,0,0,0,2,1,0.167,0.167,6,6,0.167,1,0,0,0,0
강경학,한화,2017년 04월 04일,0,0,2,0,0,0,2,0,1,0,0,2,1,1,3,2,1,2,0,0,0,0
강경학,한화,2017년 04월 23일,1,0,1.1,0,0,0,3,0,1,0,0,2,0.6,0.5,6,5,0.4,0,0,0,0,3
강경학,한화,2017년 05월 28일,0,0,0.2,0,0,0,0,0,1,0,1,0,0,0.2,5,4,0,0,0,0,0,1
강경학,한화,2017년 06월 15일,0,0,0.25,0,0,0,0,1,1,0,1,0,0,0.25,4,3,0,0,0,0,0,0
강경학,한화,2017년 06월 18일,1,0,1,0,0,0,3,0,0,0,1,2,0.6,0.4,5,5,0.4,1,0,0,0,1
강경학,한화,2017년 06월 29일,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0.5,2,1,0,0,0,0,0,0
강경학,한화,2017년 07월 04일,0,0,0.667,0,0,0,1,0,0,0,0,1,0.333,0.333,3,3,0.333,0,0,0,0,0
강경학,한화,2017년 07월 06일,0,0,0.5,0,0,0,1,0,0,0,1,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강동수,롯데,2015년 04월 26일,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0
강민국,NC,2016년 08월 06일,0,0,0.5,0,0,0,1,0,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강민국,NC,2016년 08월 25일,0,0,0.333,0,0,0,0,0,1,0,1,0,0,0.333,3,2,0,0,0,0,0,0
강민국,NC,2016년 08월 26일,1,0,1.167,0,0,0,2,1,1,0,1,1,0.667,0.5,4,3,0.333,0,0,0,0,0
강민호,롯데,2015년 03월 28일,0,0,0.65,0,0,0,1,0,0,1,2,1,0.25,0.4,5,4,0.25,0,0,0,0,0
강민호,롯데,2015년 03월 29일,0,0,0.5,0,0,0,0,0,1,1,1,0,0,0.5,4,2,0,0,0,0,0,0
강민호,롯데,2015년 04월 01일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 04월 03일,0,0,0.5,0,0,0,1,0,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,0
강민호,롯데,2015년 04월 05일,0,0,3.4,0,0,0,13,0,0,0,0,4,2.6,0.8,5,5,0.8,8,3,0,0,3
강민호,롯데,2015년 04월 08일,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0
강민호,롯데,2015년 04월 09일,0,0,0.833,0,0,0,1,0,0,1,0,1,0.333,0.5,4,3,0.333,0,0,0,0,0
강민호,롯데,2015년 04월 10일,0,0,0.75,0,0,0,0,0,3,0,1,0,0,0.75,4,1,0,0,0,0,0,2
강민호,롯데,2015년 04월 12일,0,0,0.333,0,0,0,0,0,2,0,1,0,0,0.333,6,4,0,0,0,0,0,3
강민호,롯데,2015년 04월 14일,0,0,0.667,0,0,0,0,0,1,1,0,0,0,0.667,3,1,0,0,0,0,0,1
강민호,롯데,2015년 04월 18일,0,0,0.8,0,0,0,2,0,0,0,2,2,0.4,0.4,5,5,0.4,1,0,0,0,0
강민호,롯데,2015년 04월 21일,0,0,0.833,0,0,0,1,0,1,0,1,1,0.333,0.5,4,3,0.333,1,0,0,0,0
강민호,롯데,2015년 04월 22일,0,0,1.25,0,0,0,4,0,0,0,0,1,1,0.25,4,4,0.25,1,1,0,0,1
강민호,롯데,2015년 04월 23일,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0.25,4,3,0,0,0,0,0,0
강민호,롯데,2015년 04월 25일,1,0,0.6,0,0,0,2,1,0,0,0,1,0.4,0.2,5,5,0.2,0,0,0,0,1
강민호,롯데,2015년 04월 26일,1,0,2.5,0,0,0,7,0,0,0,0,3,1.75,0.75,4,4,0.75,5,1,0,0,1
강민호,롯데,2015년 04월 28일,0,0,0.833,0,0,0,1,0,1,0,2,1,0.333,0.5,4,3,0.333,0,0,0,0,1
강민호,롯데,2015년 04월 30일,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,4,3,0,0,0,0,0,1
강민호,롯데,2015년 05월 01일,1,0,0.9,0,0,0,2,0,1,0,2,1,0.5,0.4,5,4,0.25,0,0,0,0,0
강민호,롯데,2015년 05월 02일,0,0,0.5,0,0,0,1,0,0,0,0,1,0.25,0.25,4,4,0.25,0,0,0,0,1
강민호,롯데,2015년 05월 03일,0,0,1.4,0,0,0,5,0,0,0,1,2,1,0.4,5,5,0.4,4,1,0,0,1
강민호,롯데,2015년 05월 05일,0,0,1.75,0,0,0,5,0,0,0,1,2,1.25,0.5,4,4,0.5,1,1,0,0,1
강민호,롯데,2015년 05월 06일,1,0,0.75,0,0,0,2,0,0,0,2,1,0.5,0.25,4,4,0.25,0,0,0,0,0
강민호,롯데,2015년 05월 07일,0,0,1.417,0,0,0,2,0,1,0,1,2,0.667,0.75,4,3,0.667,0,0,0,0,0
강민호,롯데,2015년 05월 08일,0,0,1.417,0,0,0,2,0,0,1,1,2,0.667,0.75,4,3,0.667,1,0,0,0,0
강민호,롯데,2015년 05월 09일,0,0,1.25,0,0,0,4,0,0,0,1,1,1,0.25,4,4,0.25,1,1,0,0,1
강민호,롯데,2015년 05월 10일,0,0,0.25,0,0,0,0,0,1,0,2,0,0,0.25,4,3,0,0,0,0,0,1
강민호,롯데,2015년 05월 12일,0,0,0.833,0,0,0,1,1,1,0,1,1,0.333,0.5,4,3,0.333,1,0,0,0,1
강민호,롯데,2015년 05월 14일,0,0,2.417,0,0,0,5,0,1,0,1,2,1.667,0.75,4,3,0.667,1,1,0,0,1
