Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강윤구,NC,06월 06일,0.0,0.0,1.8,nan,0.25,0.2,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.2,0.0,0.0,1.14,0.2,1.0,4.6,0.05,4.6,20.5,0.0,0.0,0.2,3
강윤구,NC,06월 26일,0.0,0.0,15.075,nan,1.2625,2.725,0.0,0.7,0.0,1.2,0.0,0.0,0.0,2.9,0.0,0.0,1.11,2.2,1.0,6.3,0.4247,7.0,23.5,0.0,0.0,0.8,0
강윤구,NC,07월 03일,0.0,0.0,4.05,nan,0.465,1.275,0.0,0.9,0.0,1.8,0.0,0.0,0.0,0.8,0.0,0.0,1.11,0.6,1.0,4.7,0.1142,5.6,24.0,0.0,0.7,0.2,0
강윤구,NC,07월 05일,0.0,0.0,2.025,nan,0.2025,0.525,0.0,0.3,0.0,1.2,0.0,0.0,0.0,0.4,0.0,0.0,1.03,0.3,1.0,3.6,0.0571,3.9,15.0,0.0,0.2,0.1,0
강윤구,NC,07월 08일,0.0,0.0,0.0,nan,0.02,0.075,0.0,0.1,0.0,1.8,0.0,0.0,0.7,0.0,0.0,0.0,1.01,0.0,1.0,2.4,0.0,3.9,17.2,0.0,0.1,0.0,0
강윤구,NC,07월 10일,0.0,0.0,0.0,nan,0.455,1.4,0.0,0.7,0.0,2.6,0.0,0.0,0.9,0.7,0.0,0.0,1.0,0.0,1.0,3.5,0.175,4.6,21.5,0.0,0.0,0.0,0
강윤구,NC,07월 11일,0.0,0.0,0.0,nan,0.2469,0.82,0.0,0.9,0.0,1.5,0.0,0.0,1.0,0.2,0.0,0.0,1.14,0.0,1.0,4.5,0.05,5.6,22.0,0.0,0.0,0.0,0
고영표,KT,04월 14일,0.0,0.3,5.545,4.2,0.8435,1.569,0.0,1.7,0.1,6.3,1.0,0.0,0.0,7.1,0.0,0.0,5.64,3.4,1.0,22.3,0.3174,24.7,94.5,0.1,0.0,1.0,6
고영표,KT,04월 20일,2.1,0.1,8.626,5.6,0.942,1.643,0.0,1.2,0.0,6.2,1.0,0.0,0.0,7.8,0.0,0.0,5.29,5.2,1.0,22.9,0.3399,24.4,96.8,0.7,0.0,1.0,2
고영표,KT,04월 26일,1.3,0.0,3.526,nan,0.831,1.402,0.0,0.4,0.0,5.3,1.0,0.0,0.7,7.8,0.0,0.0,5.82,2.2,1.0,24.3,0.3209,24.7,103.1,0.2,0.0,1.0,2
고영표,KT,05월 08일,1.2,0.0,2.713,nan,0.5867,0.904,0.0,1.5,0.0,7.9,1.0,0.0,0.9,5.2,0.0,0.7,8.01,2.2,1.0,27.6,0.1954,29.8,106.5,0.1,0.0,1.0,7
